"ベース型番","全表記型番","シリーズ名","愛称","年式","畳数目安","冷房能力(kW)","ユニークセリングポイント (USP)","USPコサイン類似度スコア","税込価格 (円)","税抜価格 (円)","価格コサイン類似度スコア","室内機型番","室内機質量 (kg)","室内機寸法_幅 (mm)","室内機寸法_高さ (mm)","室内機寸法_奥行 (mm)","室外機型番","室外機質量 (kg)","室外機寸法_幅 (mm)","室外機寸法_高さ (mm)","室外機寸法_奥行 (mm)","電源規格","配管径_液 (mm)","配管径_ガス (mm)","暖房能力 (kW)","暖房消費電力 (W)","冷房能力 (kW)","冷房消費電力 (W)","年間消費電力量 (kWh)","APF (通年エネルギー消費効率)","冷媒種類","冷媒封入量 (kg)","GWP","おもなおすすめ機能"
"S22ATAS","S22ATAS","AX SERIES","","2026年モデル","6畳程度","2.2","さらら除湿、快適気流、節電自動運転など便利機能が充実のハイグレードモデル","1","473000","430000","1","F22ATAS","16","","","","R22AAS","35","","","","単100V","6.4","9.5","2.5","440","2.2","390","603","6.9","R32","0.96","675","スイングコンプレッサー / デシクル制御 / NEW プレミアムPIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-25℃対応) / さらら除湿 (リニアハイブリッド方式) / AI快適自動運転 (人・床・壁センサー) / 節電自動運転 (温度・しつどコントロール) / 垂直気流 (暖房・冷房) / サーキュレーション気流 / NEW 猛暑時スピード気流 / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / セルフウォッシュ熱交換器 / 防カビ加工ファン / 銀イオン抗菌剤 (室内機ドレンパン) / 抗ウイルスフィルター / フィルター自動お掃除 / 高温風モード (最大60℃吹出し) / NEW エコブースト制御 / ヒートブースト制御/クールブースト制御 / 室温パトロール/消し忘れ防止機能 / しつどクリーン/パワーセレクト/音声応答機能 / 新・おやすみ運転 / かんたん大画面リモコン / 無線LAN接続アダプター内蔵"
"S25ATAS","S25ATAS","AX SERIES","","2026年モデル","8畳程度","2.5","さらら除湿、快適気流、節電自動運転など便利機能が充実のハイグレードモデル","1","506000","460000","1","F25ATAS","16","","","","R25AAS","35","","","","単100V","6.4","9.5","2.8","500","2.5","470","695","6.8","R32","0.96","675","スイングコンプレッサー / デシクル制御 / NEW プレミアムPIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-25℃対応) / さらら除湿 (リニアハイブリッド方式) / AI快適自動運転 (人・床・壁センサー) / 節電自動運転 (温度・しつどコントロール) / 垂直気流 (暖房・冷房) / サーキュレーション気流 / NEW 猛暑時スピード気流 / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / セルフウォッシュ熱交換器 / 防カビ加工ファン / 銀イオン抗菌剤 (室内機ドレンパン) / 抗ウイルスフィルター / フィルター自動お掃除 / 高温風モード (最大60℃吹出し) / NEW エコブースト制御 / ヒートブースト制御/クールブースト制御 / 室温パトロール/消し忘れ防止機能 / しつどクリーン/パワーセレクト/音声応答機能 / 新・おやすみ運転 / かんたん大画面リモコン / 無線LAN接続アダプター内蔵"
"S28ATAS","S28ATAS","AX SERIES","","2026年モデル","10畳程度","2.8","さらら除湿、快適気流、節電自動運転など便利機能が充実のハイグレードモデル","1","539000","490000","1","F28ATAS","16","","","","R28AAS","38","","","","単100V","6.4","9.5","3.6","660","2.8","550","790","6.7","R32","1.02","675","スイングコンプレッサー / デシクル制御 / NEW プレミアムPIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-25℃対応) / さらら除湿 (リニアハイブリッド方式) / AI快適自動運転 (人・床・壁センサー) / 節電自動運転 (温度・しつどコントロール) / 垂直気流 (暖房・冷房) / サーキュレーション気流 / NEW 猛暑時スピード気流 / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / セルフウォッシュ熱交換器 / 防カビ加工ファン / 銀イオン抗菌剤 (室内機ドレンパン) / 抗ウイルスフィルター / フィルター自動お掃除 / 高温風モード (最大60℃吹出し) / NEW エコブースト制御 / ヒートブースト制御/クールブースト制御 / 室温パトロール/消し忘れ防止機能 / しつどクリーン/パワーセレクト/音声応答機能 / 新・おやすみ運転 / かんたん大画面リモコン / 無線LAN接続アダプター内蔵"
"S36ATAS","S36ATAS","AX SERIES","","2026年モデル","12畳程度","3.6","さらら除湿、快適気流、節電自動運転など便利機能が充実のハイグレードモデル","1","583000","530000","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / デシクル制御 / NEW プレミアムPIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-25℃対応) / さらら除湿 (リニアハイブリッド方式) / AI快適自動運転 (人・床・壁センサー) / 節電自動運転 (温度・しつどコントロール) / 垂直気流 (暖房・冷房) / サーキュレーション気流 / NEW 猛暑時スピード気流 / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / セルフウォッシュ熱交換器 / 防カビ加工ファン / 銀イオン抗菌剤 (室内機ドレンパン) / 抗ウイルスフィルター / フィルター自動お掃除 / 高温風モード (最大60℃吹出し) / NEW エコブースト制御 / ヒートブースト制御/クールブースト制御 / 室温パトロール/消し忘れ防止機能 / しつどクリーン/パワーセレクト/音声応答機能 / 新・おやすみ運転 / かんたん大画面リモコン / 無線LAN接続アダプター内蔵"
"S40ATAS","S40ATAS(P)(V)","AX SERIES","","2026年モデル","14畳程度","4","さらら除湿、快適気流、節電自動運転など便利機能が充実のハイグレードモデル","1","616000","560000","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / デシクル制御 / NEW プレミアムPIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-25℃対応) / さらら除湿 (リニアハイブリッド方式) / AI快適自動運転 (人・床・壁センサー) / 節電自動運転 (温度・しつどコントロール) / 垂直気流 (暖房・冷房) / サーキュレーション気流 / NEW 猛暑時スピード気流 / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / セルフウォッシュ熱交換器 / 防カビ加工ファン / 銀イオン抗菌剤 (室内機ドレンパン) / 抗ウイルスフィルター / フィルター自動お掃除 / 高温風モード (最大60℃吹出し) / NEW エコブースト制御 / ヒートブースト制御/クールブースト制御 / 室温パトロール/消し忘れ防止機能 / しつどクリーン/パワーセレクト/音声応答機能 / 新・おやすみ運転 / かんたん大画面リモコン / 無線LAN接続アダプター内蔵"
"S56ATAP","S56ATAP(V)","AX SERIES","","2026年モデル","18畳程度","5.6","さらら除湿、快適気流、節電自動運転など便利機能が充実のハイグレードモデル","1","682000","620000","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / デシクル制御 / NEW プレミアムPIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-25℃対応) / さらら除湿 (リニアハイブリッド方式) / AI快適自動運転 (人・床・壁センサー) / 節電自動運転 (温度・しつどコントロール) / 垂直気流 (暖房・冷房) / サーキュレーション気流 / NEW 猛暑時スピード気流 / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / セルフウォッシュ熱交換器 / 防カビ加工ファン / 銀イオン抗菌剤 (室内機ドレンパン) / 抗ウイルスフィルター / フィルター自動お掃除 / 高温風モード (最大60℃吹出し) / NEW エコブースト制御 / ヒートブースト制御/クールブースト制御 / 室温パトロール/消し忘れ防止機能 / しつどクリーン/パワーセレクト/音声応答機能 / 新・おやすみ運転 / かんたん大画面リモコン / 無線LAN接続アダプター内蔵"
"S63ATAP","S63ATAP(V)","AX SERIES","","2026年モデル","20畳程度","6.3","さらら除湿、快適気流、節電自動運転など便利機能が充実のハイグレードモデル","1","781000","710000","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / デシクル制御 / NEW プレミアムPIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-25℃対応) / さらら除湿 (リニアハイブリッド方式) / AI快適自動運転 (人・床・壁センサー) / 節電自動運転 (温度・しつどコントロール) / 垂直気流 (暖房・冷房) / サーキュレーション気流 / NEW 猛暑時スピード気流 / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / セルフウォッシュ熱交換器 / 防カビ加工ファン / 銀イオン抗菌剤 (室内機ドレンパン) / 抗ウイルスフィルター / フィルター自動お掃除 / 高温風モード (最大60℃吹出し) / NEW エコブースト制御 / ヒートブースト制御/クールブースト制御 / 室温パトロール/消し忘れ防止機能 / しつどクリーン/パワーセレクト/音声応答機能 / 新・おやすみ運転 / かんたん大画面リモコン / 無線LAN接続アダプター内蔵"
"S71ATAP","S71ATAP(V)","AX SERIES","","2026年モデル","23畳程度","7.1","さらら除湿、快適気流、節電自動運転など便利機能が充実のハイグレードモデル","1","858000","780000","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / デシクル制御 / NEW プレミアムPIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-25℃対応) / さらら除湿 (リニアハイブリッド方式) / AI快適自動運転 (人・床・壁センサー) / 節電自動運転 (温度・しつどコントロール) / 垂直気流 (暖房・冷房) / サーキュレーション気流 / NEW 猛暑時スピード気流 / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / セルフウォッシュ熱交換器 / 防カビ加工ファン / 銀イオン抗菌剤 (室内機ドレンパン) / 抗ウイルスフィルター / フィルター自動お掃除 / 高温風モード (最大60℃吹出し) / NEW エコブースト制御 / ヒートブースト制御/クールブースト制御 / 室温パトロール/消し忘れ防止機能 / しつどクリーン/パワーセレクト/音声応答機能 / 新・おやすみ運転 / かんたん大画面リモコン / 無線LAN接続アダプター内蔵"
"S80ATAP","S80ATAP(V)","AX SERIES","","2026年モデル","26畳程度","8","さらら除湿、快適気流、節電自動運転など便利機能が充実のハイグレードモデル","1","935000","850000","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / デシクル制御 / NEW プレミアムPIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-25℃対応) / さらら除湿 (リニアハイブリッド方式) / AI快適自動運転 (人・床・壁センサー) / 節電自動運転 (温度・しつどコントロール) / 垂直気流 (暖房・冷房) / サーキュレーション気流 / NEW 猛暑時スピード気流 / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / セルフウォッシュ熱交換器 / 防カビ加工ファン / 銀イオン抗菌剤 (室内機ドレンパン) / 抗ウイルスフィルター / フィルター自動お掃除 / 高温風モード (最大60℃吹出し) / NEW エコブースト制御 / ヒートブースト制御/クールブースト制御 / 室温パトロール/消し忘れ防止機能 / しつどクリーン/パワーセレクト/音声応答機能 / 新・おやすみ運転 / かんたん大画面リモコン / 無線LAN接続アダプター内蔵"
"S90ATAP","S90ATAP(V)","AX SERIES","","2026年モデル","29畳程度","9","さらら除湿、快適気流、節電自動運転など便利機能が充実のハイグレードモデル","1","1012000","920000","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / デシクル制御 / NEW プレミアムPIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-25℃対応) / さらら除湿 (リニアハイブリッド方式) / AI快適自動運転 (人・床・壁センサー) / 節電自動運転 (温度・しつどコントロール) / 垂直気流 (暖房・冷房) / サーキュレーション気流 / NEW 猛暑時スピード気流 / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / セルフウォッシュ熱交換器 / 防カビ加工ファン / 銀イオン抗菌剤 (室内機ドレンパン) / 抗ウイルスフィルター / フィルター自動お掃除 / 高温風モード (最大60℃吹出し) / NEW エコブースト制御 / ヒートブースト制御/クールブースト制御 / 室温パトロール/消し忘れ防止機能 / しつどクリーン/パワーセレクト/音声応答機能 / 新・おやすみ運転 / かんたん大画面リモコン / 無線LAN接続アダプター内蔵"
