"ベース型番","全表記型番","シリーズ名","愛称","年式","畳数目安","冷房能力(kW)","ユニークセリングポイント (USP)","USPコサイン類似度スコア","税込価格 (円)","税抜価格 (円)","価格コサイン類似度スコア","室内機型番","室内機質量 (kg)","室内機寸法_幅 (mm)","室内機寸法_高さ (mm)","室内機寸法_奥行 (mm)","室外機型番","室外機質量 (kg)","室外機寸法_幅 (mm)","室外機寸法_高さ (mm)","室外機寸法_奥行 (mm)","電源規格","配管径_液 (mm)","配管径_ガス (mm)","暖房能力 (kW)","暖房消費電力 (W)","冷房能力 (kW)","冷房消費電力 (W)","年間消費電力量 (kWh)","APF (通年エネルギー消費効率)","冷媒種類","冷媒封入量 (kg)","GWP","おもなおすすめ機能"
"S22ATSS","S22ATSS","SX SERIES","risora","2026年モデル","6畳程度","2.2","薄さと色で理想の空間を彩るスタイリッシュエアコン","1","396000","360000","1","F22ATSSW(K)","9","","","","R22ASS","21","","","","単100V","6.4","9.5","2.5","435","2.2","555","705","5.9","R32","0.46","675","スイングコンプレッサー / デシクル制御・PIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-15℃対応) / さらら除湿 / 快適自動運転 (人・床温度センサー) / 垂直気流 (暖房) / 風ないス運転 (天井気流) / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / クリアコート熱交換器 / 防カビ加工ファン / 抗ウイルスフィルター / ヒートブースト制御/クールブースト制御 / 室温パトロール/消し忘れ防止機能 / おやすみ運転 / かんたんスタイリッシュリモコン / 無線LAN接続アダプター内蔵"
"S25ATSS","S25ATSS","SX SERIES","risora","2026年モデル","8畳程度","2.5","薄さと色で理想の空間を彩るスタイリッシュエアコン","1","429000","390000","1","F25ATSSW(K)","9","","","","R25ASS","25","","","","単100V","6.4","9.5","2.8","590","2.5","650","802","5.9","R32","0.65","675","スイングコンプレッサー / デシクル制御・PIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-15℃対応) / さらら除湿 / 快適自動運転 (人・床温度センサー) / 垂直気流 (暖房) / 風ないス運転 (天井気流) / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / クリアコート熱交換器 / 防カビ加工ファン / 抗ウイルスフィルター / ヒートブースト制御/クールブースト制御 / 室温パトロール/消し忘れ防止機能 / おやすみ運転 / かんたんスタイリッシュリモコン / 無線LAN接続アダプター内蔵"
"S28ATSS","S28ATSS","SX SERIES","risora","2026年モデル","10畳程度","2.8","薄さと色で理想の空間を彩るスタイリッシュエアコン","1","462000","420000","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / デシクル制御・PIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-15℃対応) / さらら除湿 / 快適自動運転 (人・床温度センサー) / 垂直気流 (暖房) / 風ないス運転 (天井気流) / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / クリアコート熱交換器 / 防カビ加工ファン / 抗ウイルスフィルター / ヒートブースト制御/クールブースト制御 / 室温パトロール/消し忘れ防止機能 / おやすみ運転 / かんたんスタイリッシュリモコン / 無線LAN接続アダプター内蔵"
"S36ATSS","S36ATSS","SX SERIES","risora","2026年モデル","12畳程度","3.6","薄さと色で理想の空間を彩るスタイリッシュエアコン","1","506000","460000","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / デシクル制御・PIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-15℃対応) / さらら除湿 / 快適自動運転 (人・床温度センサー) / 垂直気流 (暖房) / 風ないス運転 (天井気流) / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / クリアコート熱交換器 / 防カビ加工ファン / 抗ウイルスフィルター / ヒートブースト制御/クールブースト制御 / 室温パトロール/消し忘れ防止機能 / おやすみ運転 / かんたんスタイリッシュリモコン / 無線LAN接続アダプター内蔵"
"S40ATSP","S40ATSP(V)","SX SERIES","risora","2026年モデル","14畳程度","4","薄さと色で理想の空間を彩るスタイリッシュエアコン","1","539000","490000","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / デシクル制御・PIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-15℃対応) / さらら除湿 / 快適自動運転 (人・床温度センサー) / 垂直気流 (暖房) / 風ないス運転 (天井気流) / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / クリアコート熱交換器 / 防カビ加工ファン / 抗ウイルスフィルター / ヒートブースト制御/クールブースト制御 / 室温パトロール/消し忘れ防止機能 / おやすみ運転 / かんたんスタイリッシュリモコン / 無線LAN接続アダプター内蔵"
"S56ATSP","S56ATSP(V)","SX SERIES","risora","2026年モデル","18畳程度","5.6","薄さと色で理想の空間を彩るスタイリッシュエアコン","1","649000","590000","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / デシクル制御・PIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-15℃対応) / さらら除湿 / 快適自動運転 (人・床温度センサー) / 垂直気流 (暖房) / 風ないス運転 (天井気流) / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / クリアコート熱交換器 / 防カビ加工ファン / 抗ウイルスフィルター / ヒートブースト制御/クールブースト制御 / 室温パトロール/消し忘れ防止機能 / おやすみ運転 / かんたんスタイリッシュリモコン / 無線LAN接続アダプター内蔵"
"S63ATSP","S63ATSP(V)","SX SERIES","risora","2026年モデル","20畳程度","6.3","薄さと色で理想の空間を彩るスタイリッシュエアコン","1","737000","670000","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / デシクル制御・PIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-15℃対応) / さらら除湿 / 快適自動運転 (人・床温度センサー) / 垂直気流 (暖房) / 風ないス運転 (天井気流) / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / クリアコート熱交換器 / 防カビ加工ファン / 抗ウイルスフィルター / ヒートブースト制御/クールブースト制御 / 室温パトロール/消し忘れ防止機能 / おやすみ運転 / かんたんスタイリッシュリモコン / 無線LAN接続アダプター内蔵"
"S71ATSP","S71ATSP(V)","SX SERIES","risora","2026年モデル","23畳程度","7.1","薄さと色で理想の空間を彩るスタイリッシュエアコン","1","814000","740000","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / デシクル制御・PIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-15℃対応) / さらら除湿 / 快適自動運転 (人・床温度センサー) / 垂直気流 (暖房) / 風ないス運転 (天井気流) / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / クリアコート熱交換器 / 防カビ加工ファン / 抗ウイルスフィルター / ヒートブースト制御/クールブースト制御 / 室温パトロール/消し忘れ防止機能 / おやすみ運転 / かんたんスタイリッシュリモコン / 無線LAN接続アダプター内蔵"
"S22ATGS","S22ATGS","GX SERIES","","2026年モデル","6畳程度","2.2","快適気流・さらら除湿・クリーンなど、高い機能性が魅力","1","385000","350000","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / デシクル制御・PIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-15℃対応) / さらら除湿 (ハイブリッド方式) / 快適自動運転 / 風ないス運転 (天井気流・暖気かくはん運転) / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / クリアコート熱交換器 / 防カビ加工ファン / 抗ウイルスフィルター / フィルター自動お掃除 / ヒートブースト制御/クールブースト制御 / 室温パトロール / おやすみ運転 / かんたんダイレクトリモコン / 無線LAN接続アダプター内蔵"
"S25ATGS","S25ATGS","GX SERIES","","2026年モデル","8畳程度","2.5","快適気流・さらら除湿・クリーンなど、高い機能性が魅力","1","418000","380000","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / デシクル制御・PIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-15℃対応) / さらら除湿 (ハイブリッド方式) / 快適自動運転 / 風ないス運転 (天井気流・暖気かくはん運転) / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / クリアコート熱交換器 / 防カビ加工ファン / 抗ウイルスフィルター / フィルター自動お掃除 / ヒートブースト制御/クールブースト制御 / 室温パトロール / おやすみ運転 / かんたんダイレクトリモコン / 無線LAN接続アダプター内蔵"
"S28ATGS","S28ATGS","GX SERIES","","2026年モデル","10畳程度","2.8","快適気流・さらら除湿・クリーンなど、高い機能性が魅力","1","451000","410000","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / デシクル制御・PIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-15℃対応) / さらら除湿 (ハイブリッド方式) / 快適自動運転 / 風ないス運転 (天井気流・暖気かくはん運転) / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / クリアコート熱交換器 / 防カビ加工ファン / 抗ウイルスフィルター / フィルター自動お掃除 / ヒートブースト制御/クールブースト制御 / 室温パトロール / おやすみ運転 / かんたんダイレクトリモコン / 無線LAN接続アダプター内蔵"
"S36ATGS","S36ATGS","GX SERIES","","2026年モデル","12畳程度","3.6","快適気流・さらら除湿・クリーンなど、高い機能性が魅力","1","495000","450000","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / デシクル制御・PIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-15℃対応) / さらら除湿 (ハイブリッド方式) / 快適自動運転 / 風ないス運転 (天井気流・暖気かくはん運転) / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / クリアコート熱交換器 / 防カビ加工ファン / 抗ウイルスフィルター / フィルター自動お掃除 / ヒートブースト制御/クールブースト制御 / 室温パトロール / おやすみ運転 / かんたんダイレクトリモコン / 無線LAN接続アダプター内蔵"
"S40ATGP","S40ATGP(V)","GX SERIES","","2026年モデル","14畳程度","4","快適気流・さらら除湿・クリーンなど、高い機能性が魅力","1","528000","480000","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / デシクル制御・PIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-15℃対応) / さらら除湿 (ハイブリッド方式) / 快適自動運転 / 風ないス運転 (天井気流・暖気かくはん運転) / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / クリアコート熱交換器 / 防カビ加工ファン / 抗ウイルスフィルター / フィルター自動お掃除 / ヒートブースト制御/クールブースト制御 / 室温パトロール / おやすみ運転 / かんたんダイレクトリモコン / 無線LAN接続アダプター内蔵"
"S56ATGP","S56ATGP(V)","GX SERIES","","2026年モデル","18畳程度","5.6","快適気流・さらら除湿・クリーンなど、高い機能性が魅力","1","627000","570000","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / デシクル制御・PIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-15℃対応) / さらら除湿 (ハイブリッド方式) / 快適自動運転 / 風ないス運転 (天井気流・暖気かくはん運転) / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / クリアコート熱交換器 / 防カビ加工ファン / 抗ウイルスフィルター / フィルター自動お掃除 / ヒートブースト制御/クールブースト制御 / 室温パトロール / おやすみ運転 / かんたんダイレクトリモコン / 無線LAN接続アダプター内蔵"
"S63ATGP","S63ATGP(V)","GX SERIES","","2026年モデル","20畳程度","6.3","快適気流・さらら除湿・クリーンなど、高い機能性が魅力","1","715000","650000","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / デシクル制御・PIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-15℃対応) / さらら除湿 (ハイブリッド方式) / 快適自動運転 / 風ないス運転 (天井気流・暖気かくはん運転) / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / クリアコート熱交換器 / 防カビ加工ファン / 抗ウイルスフィルター / フィルター自動お掃除 / ヒートブースト制御/クールブースト制御 / 室温パトロール / おやすみ運転 / かんたんダイレクトリモコン / 無線LAN接続アダプター内蔵"
"S71ATGP","S71ATGP(V)","GX SERIES","","2026年モデル","23畳程度","7.1","快適気流・さらら除湿・クリーンなど、高い機能性が魅力","1","792000","720000","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / デシクル制御・PIT制御 / プレミアム冷房 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-15℃対応) / さらら除湿 (ハイブリッド方式) / 快適自動運転 / 風ないス運転 (天井気流・暖気かくはん運転) / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / クリアコート熱交換器 / 防カビ加工ファン / 抗ウイルスフィルター / フィルター自動お掃除 / ヒートブースト制御/クールブースト制御 / 室温パトロール / おやすみ運転 / かんたんダイレクトリモコン / 無線LAN接続アダプター内蔵"
"S22ATCS","S22ATCS","CX SERIES","","2026年モデル","6畳程度","2.2","コンパクトサイズ室内機を採用 (2.2kW～5.6kW) 室内洗浄などクリーン機能が充実","1","396000","360000","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / PIT制御 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-15℃対応) / 9段階セレクトドライ / 自動運転 / 風ないス運転 (天井気流) / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / クリアコート熱交換器 / 抗ウイルスフィルター / フィルター自動お掃除 / ヒートブースト制御 / 室温パトロール / おやすみ運転 / かんたんダイレクトリモコン / 無線LAN接続アダプター内蔵"
"S25ATCS","S25ATCS","CX SERIES","","2026年モデル","8畳程度","2.5","コンパクトサイズ室内機を採用 (2.2kW～5.6kW) 室内洗浄などクリーン機能が充実","1","429000","390000","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / PIT制御 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-15℃対応) / 9段階セレクトドライ / 自動運転 / 風ないス運転 (天井気流) / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / クリアコート熱交換器 / 抗ウイルスフィルター / フィルター自動お掃除 / ヒートブースト制御 / 室温パトロール / おやすみ運転 / かんたんダイレクトリモコン / 無線LAN接続アダプター内蔵"
"S28ATCS","S28ATCS","CX SERIES","","2026年モデル","10畳程度","2.8","コンパクトサイズ室内機を採用 (2.2kW～5.6kW) 室内洗浄などクリーン機能が充実","1","462000","420000","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / PIT制御 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-15℃対応) / 9段階セレクトドライ / 自動運転 / 風ないス運転 (天井気流) / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / クリアコート熱交換器 / 抗ウイルスフィルター / フィルター自動お掃除 / ヒートブースト制御 / 室温パトロール / おやすみ運転 / かんたんダイレクトリモコン / 無線LAN接続アダプター内蔵"
"S36ATCS","S36ATCS","CX SERIES","","2026年モデル","12畳程度","3.6","コンパクトサイズ室内機を採用 (2.2kW～5.6kW) 室内洗浄などクリーン機能が充実","1","506000","460000","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / PIT制御 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-15℃対応) / 9段階セレクトドライ / 自動運転 / 風ないス運転 (天井気流) / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / クリアコート熱交換器 / 抗ウイルスフィルター / フィルター自動お掃除 / ヒートブースト制御 / 室温パトロール / おやすみ運転 / かんたんダイレクトリモコン / 無線LAN接続アダプター内蔵"
"S40ATCP","S40ATCP(V)","CX SERIES","","2026年モデル","14畳程度","4","コンパクトサイズ室内機を採用 (2.2kW～5.6kW) 室内洗浄などクリーン機能が充実","1","539000","490000","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / PIT制御 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-15℃対応) / 9段階セレクトドライ / 自動運転 / 風ないス運転 (天井気流) / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / クリアコート熱交換器 / 抗ウイルスフィルター / フィルター自動お掃除 / ヒートブースト制御 / 室温パトロール / おやすみ運転 / かんたんダイレクトリモコン / 無線LAN接続アダプター内蔵"
"S56ATCP","S56ATCP(V)","CX SERIES","","2026年モデル","18畳程度","5.6","コンパクトサイズ室内機を採用 (2.2kW～5.6kW) 室内洗浄などクリーン機能が充実","1","649000","590000","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / PIT制御 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-15℃対応) / 9段階セレクトドライ / 自動運転 / 風ないス運転 (天井気流) / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / クリアコート熱交換器 / 抗ウイルスフィルター / フィルター自動お掃除 / ヒートブースト制御 / 室温パトロール / おやすみ運転 / かんたんダイレクトリモコン / 無線LAN接続アダプター内蔵"
"S63ATCP","S63ATCP(V)","CX SERIES","","2026年モデル","20畳程度","6.3","コンパクトサイズ室内機を採用 (2.2kW～5.6kW) 室内洗浄などクリーン機能が充実","1","737000","670000","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / PIT制御 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-15℃対応) / 9段階セレクトドライ / 自動運転 / 風ないス運転 (天井気流) / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / クリアコート熱交換器 / 抗ウイルスフィルター / フィルター自動お掃除 / ヒートブースト制御 / 室温パトロール / おやすみ運転 / かんたんダイレクトリモコン / 無線LAN接続アダプター内蔵"
"S71ATCP","S71ATCP(V)","CX SERIES","","2026年モデル","23畳程度","7.1","コンパクトサイズ室内機を採用 (2.2kW～5.6kW) 室内洗浄などクリーン機能が充実","1","814000","740000","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / PIT制御 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-15℃対応) / 9段階セレクトドライ / 自動運転 / 風ないス運転 (天井気流) / オートスイング (上下/左右/立体) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / クリアコート熱交換器 / 抗ウイルスフィルター / フィルター自動お掃除 / ヒートブースト制御 / 室温パトロール / おやすみ運転 / かんたんダイレクトリモコン / 無線LAN接続アダプター内蔵"
"S22ATES","S22ATES","E SERIES","","2026年モデル","6畳程度","2.2","コンパクトサイズ室内機採用のスタンダードモデル","1","オープン価格","オープン価格","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / PIT制御 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-15℃対応) / 9段階セレクトドライ / 自動運転 / 風ないス運転 / オートスイング (上下) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / クリアコート熱交換器 / 抗ウイルスフィルター / ヒートブースト制御 / 室温パトロール / おやすみ運転 / かんたんダイレクトリモコン / 無線LAN接続アダプター別売"
"S25ATES","S25ATES","E SERIES","","2026年モデル","8畳程度","2.5","コンパクトサイズ室内機採用のスタンダードモデル","1","オープン価格","オープン価格","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / PIT制御 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-15℃対応) / 9段階セレクトドライ / 自動運転 / 風ないス運転 / オートスイング (上下) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / クリアコート熱交換器 / 抗ウイルスフィルター / ヒートブースト制御 / 室温パトロール / おやすみ運転 / かんたんダイレクトリモコン / 無線LAN接続アダプター別売"
"S28ATES","S28ATES(V)","E SERIES","","2026年モデル","10畳程度","2.8","コンパクトサイズ室内機採用のスタンダードモデル","1","オープン価格","オープン価格","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / PIT制御 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-15℃対応) / 9段階セレクトドライ / 自動運転 / 風ないス運転 / オートスイング (上下) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / クリアコート熱交換器 / 抗ウイルスフィルター / ヒートブースト制御 / 室温パトロール / おやすみ運転 / かんたんダイレクトリモコン / 無線LAN接続アダプター別売"
"S36ATES","S36ATES(V)","E SERIES","","2026年モデル","12畳程度","3.6","コンパクトサイズ室内機採用のスタンダードモデル","1","オープン価格","オープン価格","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / PIT制御 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-15℃対応) / 9段階セレクトドライ / 自動運転 / 風ないス運転 / オートスイング (上下) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / クリアコート熱交換器 / 抗ウイルスフィルター / ヒートブースト制御 / 室温パトロール / おやすみ運転 / かんたんダイレクトリモコン / 無線LAN接続アダプター別売"
"S40ATEP","S40ATEP(V)","E SERIES","","2026年モデル","14畳程度","4","コンパクトサイズ室内機採用のスタンダードモデル","1","オープン価格","オープン価格","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / PIT制御 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-15℃対応) / 9段階セレクトドライ / 自動運転 / 風ないス運転 / オートスイング (上下) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / クリアコート熱交換器 / 抗ウイルスフィルター / ヒートブースト制御 / 室温パトロール / おやすみ運転 / かんたんダイレクトリモコン / 無線LAN接続アダプター別売"
"S56ATEP","S56ATEP(V)","E SERIES","","2026年モデル","18畳程度","5.6","コンパクトサイズ室内機採用のスタンダードモデル","1","オープン価格","オープン価格","1","","","","","","","","","","","","","","","","","","","","R32","","675","スイングコンプレッサー / PIT制御 / 高外気タフネス冷房 (50℃対応) / 低外気タフネス暖房 (-15℃対応) / 9段階セレクトドライ / 自動運転 / 風ないス運転 / オートスイング (上下) / 水内部クリーン (結露水洗浄) / ストリーマ (空気清浄/内部クリーン) / クリアコート熱交換器 / 抗ウイルスフィルター / ヒートブースト制御 / 室温パトロール / おやすみ運転 / かんたんダイレクトリモコン / 無線LAN接続アダプター別売"
"S40ATRP","S40ATRP-W(-C); S40ATRP","RX SERIES","うるさらX","2026年モデル","","","無給水加湿と気流で快適 節電自動運転搭載のフラッグシップモデル","1","660000","600000","1","F40ATRP-W(-C)","16.5","798","295","370","R40ARP","56","850","862","320","単相200V 20A","6.4","9.5","5","890","4","770","1036","7.3","R32","1.37","675",""
"S40ATRV","S40ATRV-W(-C); S40ATRV","RX SERIES","うるさらX","2026年モデル","","","無給水加湿と気流で快適 節電自動運転搭載のフラッグシップモデル","1","660000","600000","1","F40ATRV-W(-C)","16.5","798","295","370","R40ARV","56","850","862","320","単相200V 20A","6.4","9.5","5","890","4","770","1036","7.3","R32","1.37","675",""
"S56ATRV","S56ATRV-W(-C)","RX SERIES","うるさらX","2026年モデル","","","無給水加湿と気流で快適 節電自動運転搭載のフラッグシップモデル","1","715000","650000","1","F56ATRV-W(-C)","16.5","798","295","370","R56ARV","56","850","862","320","単相200V 20A","6.4","9.5","6.7","1380","5.6","1390","1605","6.6","R32","","675",""
"S63ATRV","S63ATRV-W(-C)","RX SERIES","うるさらX","2026年モデル","","","無給水加湿と気流で快適 節電自動運転搭載のフラッグシップモデル","1","803000","730000","1","F63ATRV-W(-C)","16.5","798","295","370","R63ARV","52","850","799","320","単相200V 20A","6.4","12.7","7.1","1550","6.3","1750","1922","6.2","R32","","675",""
"S71ATRV","S71ATRV-W(-C)","RX SERIES","うるさらX","2026年モデル","","","無給水加湿と気流で快適 節電自動運転搭載のフラッグシップモデル","1","880000","800000","1","F71ATRV-W(-C)","16.5","798","295","370","R71ARV","55","850","862","320","単相200V 20A","6.4","12.7","8.5","2020","7.1","2210","2276","5.9","R32","","675",""
